A+A:Lccession;Org_location;Geo_Location;Country;USA;Host;Host family;Tissue_Specimen_Source;Collection_Date;Total Monthly Precipitation;Monthly Maximum Temperature;Monthly Minimum Temperature
MH507871;USA;USA: Bakersfield,California;USA;CA;Passer domesticus;Bird;tissue;26-07-2010;0;36.6;21.2
MH507874;USA;USA: Bakersfield,California;USA;CA;Passer domesticus;Bird;tissue;17-06-2011;0.08;32.2;16.8
MH507875;USA;USA: Bakersfield,California;USA;CA;Passer domesticus;Bird;tissue;17-06-2011;0.08;32.2;16.8
MH507879;USA;USA: Bakersfield,California;USA;CA;Passer domesticus;Bird;tissue;17-11-2011;0.76;17.5;6.2
OQ721116;USA;USA: Sacramento, California;USA;CA;Turdus migratorius;Bird;tissue;04-09-2009;0.19;32.9;14.6
OQ721617;USA;USA: Kern, California;USA;CA;Turdus migratorius;Bird;tissue;16-06-2005;0;30.5;10.9
MH507827;USA;USA: Bakersfield,California;USA;CA;Turdus migratorius;Bird;tissue;13-07-2006;0;38.4;23.7
MH507855;USA;USA: Bakersfield,California;USA;CA;Turdus migratorius;Bird;tissue;23-07-2008;0;36.2;22.5
MH507864;USA;USA: Bakersfield,California;USA;CA;Turdus migratorius;Bird;tissue;23-07-2009;0;37.9;22.6
MH507854;USA;USA: Bakersfield,California;USA;CA;Zenaida macroura;Bird;tissue;13-03-2008;0;21.2;7.7
OX442294;Germany;Germany: Brandenburg;Germany;;Accipiter gentilis;Bird;;14-08-2020;3.75;27.8;15.3
OX442285;Germany;Germany: Berlin;Germany;;Accipiter gentilis;Bird;;31-08-2020;1.97;28.3;14.7
OX442289;Germany;Germany: Berlin;Germany;;Accipiter gentilis;Bird;;23-08-2020;1.97;28.3;14.7
OX442292;Germany;Germany: Berlin;Germany;;Accipiter gentilis;Bird;;2020-08;1.97;28.3;14.7
OX442298;Germany;Germany: Berlin;Germany;;Accipiter gentilis;Bird;;2020-09;2.08;22;10.8
OX442300;Germany;Germany: Berlin;Germany;;Accipiter gentilis;Bird;;09-08-2020;1.97;28.3;14.7
OX442302;Germany;Germany: Berlin;Germany;;Accipiter gentilis;Bird;;2020-09;2.08;22;10.8
OX442305;Germany;Germany: Berlin;Germany;;Accipiter gentilis;Bird;;01-08-2020;1.97;28.3;14.7
OX442306;Germany;Germany: Berlin;Germany;;Accipiter gentilis;Bird;;08-08-2020;1.97;28.3;14.7
OX442307;Germany;Germany: Berlin;Germany;;Accipiter gentilis;Bird;;13-08-2020;1.97;28.3;14.7
OX442312;Germany;Germany: Berlin;Germany;;Accipiter gentilis;Bird;;13-06-2020;1.96;25.4;12.4
OX442348;Germany;Germany: Berlin;Germany;;Accipiter gentilis;Bird;;2020-09;2.08;22;10.8
OX442279;Germany;Germany: Saxony;Germany;;Accipiter gentilis;Bird;;30-07-2020;1.44;25.6;12.8
EF631161;USA;USA: Illinois, Cook County;USA;IL;Agelaius phoeniceus;Bird;;28-08-2005;2.19;29.1;17.4
MW751835;Serbia;Serbia: Subotica;Serbia;;Asio otus;Bird;;28-08-2018;2.02;31;17.9
OX442295;Germany;Germany: Brandenburg;Germany;;Athene noctua;Bird;;2020-09;1.49;22.2;8.7
OX442309;Germany;Germany: Brandenburg;Germany;;Athene noctua;Bird;;18-08-2020;3.75;27.8;15.3
OX442299;Germany;Germany: Brandenburg;Germany;;Bombycilla garrulus;Bird;;11-08-2020;3.75;27.8;15.3
OX442277;Germany;Germany: Saxony-Anhalt;Germany;;Bubo scandiacus;Bird;;02-09-2020;1.8;22.6;9.7
OX442291;Germany;Germany: Saxony-Anhalt;Germany;;Bubo scandiacus;Bird;;02-09-2020;1.8;22.6;9.7
OX442304;Germany;Germany: Saxony-Anhalt;Germany;;Bubo scandiacus;Bird;;15-08-2020;2.58;27.6;15.3
KX547263;USA;USA: Albany Co., NY;USA;NY;Cardinalis cardinalis;Bird;;16-09-2002;3.14;23.9;11.3
EF631162;USA;USA: Illinois, Cook County;USA;IL;Colaptes auratus;Bird;;01-08-2005;2.19;29.1;17.4
EF631163;USA;USA: Illinois, Cook County;USA;IL;Colaptes auratus;Bird;;01-08-2005;2.19;29.1;17.4
DQ874424;USA;USA: Illinois, Cook;USA;IL;Corvus brachyrhynchos;Bird;;23-07-2002;1.63;30.6;20.4
DQ874426;USA;USA: Illinois, Cook;USA;IL;Corvus brachyrhynchos;Bird;;23-07-2002;1.63;30.6;20.4
DQ874427;USA;USA: Illinois, Cook;USA;IL;Corvus brachyrhynchos;Bird;;26-07-2002;1.63;30.6;20.4
DQ874430;USA;USA: Illinois, Cook;USA;IL;Corvus brachyrhynchos;Bird;;26-07-2002;1.63;30.6;20.4
DQ874425;USA;USA: Illinois, Cook;USA;IL;Corvus brachyrhynchos;Bird;;30-07-2002;1.63;30.6;20.4
DQ874429;USA;USA: Illinois, Iroquois;USA;IL;Corvus brachyrhynchos;Bird;;05-08-2002;6.25;28.9;18.1
DQ874431;USA;USA: Illinois, Clinton;USA;IL;Corvus brachyrhynchos;Bird;;07-08-2002;6.25;28.9;18.1
DQ874437;USA;USA: Illinois, Grundy;USA;IL;Corvus brachyrhynchos;Bird;;23-08-2002;6.25;28.9;18.1
DQ874452;USA;USA: Illinois, Mclean;USA;IL;Corvus brachyrhynchos;Bird;;16-07-2003;5.5;28.1;17.1
DQ874453;USA;USA: Illinois, Champaign;USA;IL;Corvus brachyrhynchos;Bird;;05-08-2003;2.11;28.5;18.6
DQ874455;USA;USA: Illinois, Champaign;USA;IL;Corvus brachyrhynchos;Bird;;26-08-2003;2.11;28.5;18.6
DQ874456;USA;USA: Illinois, Cook;USA;IL;Corvus brachyrhynchos;Bird;;10-09-2003;1.97;23.2;12.3
DQ874457;USA;USA: Illinois, Dekalb;USA;IL;Corvus brachyrhynchos;Bird;;19-09-2003;1.97;23.2;12.3
DQ874459;USA;USA: Illinois, Mclean;USA;IL;Corvus brachyrhynchos;Bird;;09-06-2004;3.07;24.72;13
DQ874460;USA;USA: Illinois, Vermilion;USA;IL;Corvus brachyrhynchos;Bird;;09-06-2004;3.07;24.72;13
DQ874461;USA;USA: Illinois, Cook;USA;IL;Corvus brachyrhynchos;Bird;;28-06-2004;3.07;24.72;13
DQ874465;USA;USA: Illinois, Cook;USA;IL;Corvus brachyrhynchos;Bird;;27-08-2004;4.33;21.4;9.9
DQ874466;USA;USA: Illinois, Cook;USA;IL;Corvus brachyrhynchos;Bird;;02-09-2004;0.48;21;10.3
DQ874468;USA;USA: Illinois, Cook;USA;IL;Corvus brachyrhynchos;Bird;;17-09-2004;0.48;21;10.3
DQ874469;USA;USA: Illinois, Cook;USA;IL;Corvus brachyrhynchos;Bird;;24-09-2004;0.48;21;10.3
DQ874402;USA;USA: Illinois, Lee;USA;IL;Corvus brachyrhynchos;Bird;;17-06-2005;0.79;22.2;12.1
DQ874403;USA;USA: Illinois, Lake;USA;IL;Corvus brachyrhynchos;Bird;;18-06-2005;0.79;22.2;12.1
DQ874404;USA;USA: Illinois, Rock Island;USA;IL;Corvus brachyrhynchos;Bird;;07-07-2005;2.26;24.7;15
DQ874405;USA;USA: Illinois, Dupage;USA;IL;Corvus brachyrhynchos;Bird;;12-07-2005;2.26;24.7;15
DQ874407;USA;USA: Illinois, Kane;USA;IL;Corvus brachyrhynchos;Bird;;12-07-2005;2.26;24.7;15
DQ874406;USA;USA: Illinois, Saintclair;USA;IL;Corvus brachyrhynchos;Bird;;13-07-2005;2.26;24.7;15
DQ874408;USA;USA: Illinois, Cook;USA;IL;Corvus brachyrhynchos;Bird;;18-07-2005;2.26;24.7;15
DQ874409;USA;USA: Illinois, Cook;USA;IL;Corvus brachyrhynchos;Bird;;18-07-2005;2.26;24.7;15
DQ874410;USA;USA: Illinois, Lake;USA;IL;Corvus brachyrhynchos;Bird;;20-07-2005;2.26;24.7;15
DQ874413;USA;USA: Illinois, Mchenry;USA;IL;Corvus brachyrhynchos;Bird;;29-07-2005;2.26;24.7;15
DQ874412;USA;USA: Illinois, Mchenry;USA;IL;Corvus brachyrhynchos;Bird;;01-08-2005;2.19;29.1;17.4
DQ874414;USA;USA: Illinois, Cook;USA;IL;Corvus brachyrhynchos;Bird;;02-08-2005;2.19;29.1;17.4
DQ874415;USA;USA: Illinois, Winnebago;USA;IL;Corvus brachyrhynchos;Bird;;02-08-2005;2.19;29.1;17.4
DQ874416;USA;USA: Illinois, Lake;USA;IL;Corvus brachyrhynchos;Bird;;03-08-2005;2.19;29.1;17.4
DQ874417;USA;USA: Illinois, Mchenry;USA;IL;Corvus brachyrhynchos;Bird;;09-08-2005;2.19;29.1;17.4
DQ874418;USA;USA: Illinois, Springfield;USA;IL;Corvus brachyrhynchos;Bird;;17-09-2005;2.6;23.5;13.7
DQ874419;USA;USA: Illinois, Rockford;USA;IL;Corvus brachyrhynchos;Bird;;27-09-2005;2.6;23.5;13.7
KX547305;USA;USA: Albany Co., NY;USA;NY;Corvus brachyrhynchos;Bird;;25-08-2002;4.53;28.3;16
KX547346;USA;USA: Albany Co., NY;USA;NY;Corvus brachyrhynchos;Bird;;18-06-2004;2.2;23.9;12
KX547523;USA;USA: Albany Co., NY;USA;NY;Corvus brachyrhynchos;Bird;;16-07-2005;5.24;27.8;16.8
KX547270;USA;USA: Albany Co., NY;USA;NY;Corvus brachyrhynchos;Bird;;23-08-2006;4.9;26;14.8
KX547404;USA;USA: Albany Co., NY;USA;NY;Corvus brachyrhynchos;Bird;;18-08-2008;3;25.4;14
KX547187;USA;USA: Albany Co., NY;USA;NY;Corvus brachyrhynchos;Bird;;28-08-2008;3;25.4;14
KX547585;USA;USA: Albany Co., NY;USA;NY;Corvus brachyrhynchos;Bird;;02-09-2009;1.84;21.1;9.5
KX547568;USA;USA: Albany Co., NY;USA;NY;Corvus brachyrhynchos;Bird;;20-08-2010;3.32;26.8;15.6
KX547278;USA;USA: Albany Co., NY;USA;NY;Corvus brachyrhynchos;Bird;;17-09-2012;5.32;22.1;10.4
OX442311;Germany;Germany: Berlin;Germany;;Corvus cornix;Bird;;18-08-2020;1.97;28.3;14.7
OX442303;Germany;Germany: Saxony;Germany;;Cyanistes caeruleus;Bird;;2020-08;3.69;27.8;15.3
OX442286;Germany;Germany: Thuringia;Germany;;Cyanistes caeruleus;Bird;;2020-08;3.55;25.6;14.8
DQ874454;USA;USA: Illinois, Perry;USA;IL;Cyanocitta cristata;Bird;;14-08-2003;2.11;28.5;18.6
DQ874458;USA;USA: Illinois, Bond;USA;IL;Cyanocitta cristata;Bird;;15-10-2003;1.91;17;5.8
DQ874462;USA;USA: Illinois, Will;USA;IL;Cyanocitta cristata;Bird;;07-07-2004;3.67;24.4;12.7
DQ874464;USA;USA: Illinois, Fayette;USA;IL;Cyanocitta cristata;Bird;;24-08-2004;4.33;21.4;9.9
DQ874411;USA;USA: Illinois, Kendall;USA;IL;Cyanocitta cristata;Bird;;31-07-2005;2.26;24.7;15
DQ874420;USA;USA: Illinois, Henry;USA;IL;Cyanocitta cristata;Bird;;30-09-2005;2.6;23.5;13.7
KX547355;USA;USA: Albany Co., NY;USA;NY;Cyanocitta cristata;Bird;;13-09-2005;1.72;24.9;11.8
MW751837;Serbia;Serbia: Curug;Serbia;;Falco tinnunculus;Bird;;25-06-2018;6.41;27.2;16.2
OX442301;Germany;Germany: Thuringia;Germany;;Garrulus glandarius;Bird;;2020-08;3.55;25.6;14.8
EF631153;USA;USA: Illinois, Cook County;USA;IL;Haemorhous mexicanus;Bird;;28-07-2005;2.26;24.7;15
EF631152;USA;USA: Illinois, Cook County;USA;IL;Haemorhous mexicanus;Bird;;09-08-2005;2.19;29.1;17.4
KX547168;USA;USA: Albany Co., NY;USA;NY;Haemorhous mexicanus;Bird;;27-09-2012;5.32;22.1;10.4
OX442290;Germany;Germany: Saxony-Anhalt;Germany;;Lathamus discolor;Bird;;21-09-2020;1.8;22.6;9.7
OX442273;Germany;Germany: Saxony;Germany;;Parus major;Bird;;2020-08;3.69;27.8;15.3
EF631160;USA;USA: Illinois, Cook County;USA;IL;Passer domesticus;Bird;;01-08-2005;2.19;29.1;17.4
EF631156;USA;USA: Illinois, Cook County;USA;IL;Passer domesticus;Bird;;03-08-2005;2.19;29.1;17.4
EF631157;USA;USA: Illinois, Cook County;USA;IL;Passer domesticus;Bird;;03-08-2005;2.19;29.1;17.4
EF631158;USA;USA: Illinois, Cook County;USA;IL;Passer domesticus;Bird;;03-08-2005;2.19;29.1;17.4
EF631159;USA;USA: Illinois, Cook County;USA;IL;Passer domesticus;Bird;;03-08-2005;2.19;29.1;17.4
KY782110;USA;USA: Illinois, West Chicago suburbs;USA;IL;Passer domesticus;Bird;;03-08-2005;2.19;29.1;17.4
EF631154;USA;USA: Illinois, Cook County;USA;IL;Passer domesticus;Bird;;09-08-2005;2.19;29.1;17.4
EF631155;USA;USA: Illinois, Cook County;USA;IL;Passer domesticus;Bird;;09-08-2005;2.19;29.1;17.4
OX451204;Germany;Germany: Saxony-Anhalt;Germany;;Phoenicopterus chilensis;Bird;;26-08-2020;2.58;27.6;15.3
OX442282;Germany;Germany: Berlin;Germany;;Phoenicopterus ruber;Bird;;22-08-2020;1.97;28.3;14.7
KY782107;USA;USA: Illinois, West Chicago suburbs;USA;IL;Poecile atricapillus;Bird;;01-08-2012;5.07;28.9;18.1
OX442275;Germany;Germany: Saxony-Anhalt;Germany;;Pyrrhocorax graculus;Bird;;12-07-2020;1.93;24.5;12.4
KX547311;USA;USA: Albany Co., NY;USA;NY;Sciurus carolinensis;;;25-09-2003;5.22;22;10.7
KX547609;USA;USA: Albany Co., NY;USA;NY;Sciurus carolinensis;;;25-09-2003;5.22;22;10.7
OX442278;Germany;Germany: Saxony-Anhalt;Germany;;Serinus canaria;Bird;;2020-09;1.8;22.6;9.7
KY782106;USA;USA: Illinois, West Chicago suburbs;USA;IL;Spinus tristis;Bird;;25-07-2012;3.75;32.9;22.2
KY782109;USA;USA: Illinois, West Chicago suburbs;USA;IL;Turdus migratorius;Bird;;03-08-2005;2.19;29.1;17.4
KY782105;USA;USA: Illinois, West Chicago suburbs;USA;IL;Turdus migratorius;Bird;;18-07-2012;3.75;32.9;22.2
KY782108;USA;USA: Illinois, West Chicago suburbs;USA;IL;Turdus migratorius;Bird;;24-08-2010;2.74;25.5;17.7
MH507852;USA;USA: Bakersfield,California;USA;CA;Aphelocoma californica;Bird;tissue;13-07-2007;0;35.9;21.3
MH507858;USA;USA: Bakersfield,California;USA;CA;Aphelocoma californica;Bird;tissue;08-06-2009;0.06;31.7;18.3
MH507860;USA;USA: Bakersfield,California;USA;CA;Aphelocoma californica;Bird;tissue;15-06-2009;0.06;31.7;18.3
MH507866;USA;USA: Bakersfield,California;USA;CA;Aphelocoma californica;Bird;tissue;12-07-2010;0;36.6;21.2
MH507867;USA;USA: Bakersfield,California;USA;CA;Aphelocoma californica;Bird;tissue;19-07-2010;0;36.6;21.2
MH507872;USA;USA: Bakersfield,California;USA;CA;Aphelocoma californica;Bird;tissue;26-07-2010;0;36.6;21.2
MH507873;USA;USA: Bakersfield,California;USA;CA;Aphelocoma californica;Bird;tissue;28-07-2010;0;36.6;21.2
MH507876;USA;USA: Bakersfield,California;USA;CA;Aphelocoma californica;Bird;tissue;05-08-2011;0;36.7;20.1
MH507877;USA;USA: Bakersfield,California;USA;CA;Aphelocoma californica;Bird;tissue;08-08-2011;0;36.7;20.1
MH507878;USA;USA: Bakersfield,California;USA;CA;Aphelocoma californica;Bird;tissue;08-08-2011;0;36.7;20.1
MH507880;USA;USA: Bakersfield,California;USA;CA;Aphelocoma californica;Bird;tissue;08-06-2012;0;33.1;17.4
MH507883;USA;USA: Bakersfield,California;USA;CA;Aphelocoma californica;Bird;tissue;18-06-2012;0;33.1;17.4
MH507887;USA;USA: Bakersfield,California;USA;CA;Aphelocoma californica;Bird;tissue;10-06-2013;0;34.6;19.3
MH507888;USA;USA: Bakersfield,California;USA;CA;Aphelocoma californica;Bird;tissue;08-07-2013;0;38.6;23.2
